FQN, 							   TYPE,		DESCRIPTION,                                                                           WEBAPPS_DEPENDENCIES, DATASINK_DEPENDENCIES		
"com.deleidos.rtws.webapp.metricsapi", "basic",		"REST API for accessing metrics on a running system.",                                 "",                   ""
"com.deleidos.rtws.webapp.dbapi",      "basic",		"REST API for accessing application tables in the Tenant Database.",                   "",                   ""		
"com.deleidos.rtws.webapp.alertsapi",  "basic",		"REST API for managing alert criteria used by the alerting data sink.",      "",                   "com.deleidos.rtws.ext.datasink.AlertingDataSink"
"com.deleidos.rtws.webapp.searchapi",  "basic",		"REST API to perform searching in real time on the data.",                             "",                   ""
"com.deleidos.rtws.webapp.search",     "basic",		"Search webapp to search data indexed by the LuceneIndexingDataSink",                  "com.deleidos.rtws.webapp.searchapi","com.deleidos.rtws.ext.datasink.LuceneIndexingDataSink"
"com.deleidos.rtws.webapp.alertcontroller", "basic","A Alerts Management Application.",                                                    "com.deleidos.rtws.webapp.alertsapi","com.deleidos.rtws.ext.datasink.AlertingDataSink"
"processgroup:hue.server",          	"server",   "Hue Web Application for Apache Hadoop",												"",						"com.deleidos.rtws.ext.datasink.HiveDataSink"
"com.deleidos.rtws.webapp.kibana",		"basic",	"Kibana dashboard for ElasticSearch",												"",						"com.deleidos.datasink.elasticsearch.ElasticSearchDataSink"
"com.deleidos.rtws.webapp.remote-logsearch-configuration",		"basic",	"Remote Configuration dashboard for logsearch systems.",						"",						""
