SYSTEM_SIZE, JMS_INSTANCE_COUNT, JMS_INSTANCE_TYPE, COMBINE_INT_EXT_JMS_FLAG, BASE_MIN, BASE_MAX, BASE_ALLOC, BASE_DEALLOC
"xsmall",			1,				"m3.medium",				"Y",                  1,        3,        1,          1
"small",			1,				"m3.large",				"Y",                  1,        3,        1,          1
"medium",			1,				"m3.large",				"N",                  1,       12,        3,          2
"large",			3,				"m3.large",				"N",                  1,       50,       10,          3
"xlarge",			3,				"m3.xlarge",			"N",                  1,      100,       20,          4
"xxlarge",			6,				"m3.xlarge",			"N",                  3,      100,       10,          4
